dataset_id,last_name,given_name,ORCID,affiliation,additional_role
Jordan_2007,Jordan,Gregory,0000-0002-6033-2766,"University of Tasmania, Australia",contact
Jordan_2015,Jordan,Gregory,0000-0002-6033-2766,"University of Tasmania, Australia",contact
Jordan_2015,Price,Aina,,"University of Tasmania, Australia",
Jordan_2020,Jordan,Gregory,0000-0002-6033-2766,"University of Tasmania, Australia",contact
Jordan_2020,Carpenter,Raymond,0000-0001-7129-2870,"University of Adelaide, Australia",
Jurado_1991,Jurado,Enrique,0000-0002-4043-5549,"Universidad Autonoma de Nuevo Leon, Mexico",contact
Jurado_1991,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Jurado_1992,Jurado,Enrique,0000-0002-4043-5549,"Universidad Autonoma de Nuevo Leon, Mexico",contact
Jurado_1992,Nelson,Des,,"CSIRO, Australia",
Kanowski_2000,Kanowski,John,,"Australian Wildlife Conservancy, Australia",contact
Keighery_2004,Keighery,Greg,0000-0001-5226-0363,"Department of Biodiversity, Conservation and Attractions, WA, Australia",
Kew_2019_1,Liu,Udayangani,0000-0002-6192-1319,"Royal Botanic Gardens, Kew, United Kingdom",contact
Kew_2019_2,Liu,Udayangani,0000-0002-6192-1319,"Royal Botanic Gardens, Kew, United Kingdom",contact
Kew_2019_3,Liu,Udayangani,0000-0002-6192-1319,"Royal Botanic Gardens, Kew, United Kingdom",contact
Kew_2019_4,Liu,Udayangani,0000-0002-6192-1319,"Royal Botanic Gardens, Kew, United Kingdom",contact
Kew_2019_5,Liu,Udayangani,0000-0002-6192-1319,"Royal Botanic Gardens, Kew, United Kingdom",contact
Kew_2019_6,Liu,Udayangani,0000-0002-6192-1319,"Royal Botanic Gardens, Kew, United Kingdom",contact
Kirkpatrick_2020,Kirkpatrick,James,0000-0003-2763-2692,"University of Tasmania, Australia",contact
Knox_2011,Knox,Kirsten,,unknown,
Knox_2011,Clarke,Peter,,"University of New England, Australia",
Kocacinar_2003,Kocacinar,Ferit,0000-0003-0890-6117,"Kahramanmaras Sütcü Imam University, Turkey",
Kooyman_2011,Kooyman,Robert,0000-0003-1985-9547,"Department of Biological Sciences, Macquarie University, Australia",contact
Kotowska_2020,Kotowska,Martyna,0000-0002-2283-5979,"Department of Plant Ecology and Ecosystems Research, University of Goettingen, Germany",contact
Kotowska_2020,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Kotowska_2020,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Kubiak_2009,Kubiak,P. J.,,,
Kuo_1982,Kuo,John,,"University of Western Australia, Australia",
Laliberte_2012,Laliberté,Etienne,0000-0002-3167-2622,"Institut de recherche en biologie végétale, Université de Montréal, 4101 Sherbrooke Est, Montréal, Canada H1X 2B2",contact
Laliberte_2012,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
Lamont_2002,Lamont,Byron,0000-0001-9279-7149,"Curtin University, Australia",contact
Lamont_2002,Groom,Philip K,,"Curtin University, Australia",
Lawes_2012,Lawes,Michael,0000-0002-2381-6147,unknown,contact
Lawes_2014,Lawes,Michael,0000-0002-2381-6147,unknown,
Lawson_2015,Lawson,James,0000-0001-7983-4443,"NSW Department of Primary Industries, Australia",contact
Lawson_2015,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",
Laxton_2005,Laxton,Emma,,unknown,
Laxton_2005,Hughes,Lesley,0000-0003-0313-9780,"Department of Biological Sciences, Macquarie University, Australia",
Lee_2019,Oberle,Brad,0000-0002-4227-3352,"Division of Natural Sciences, New College of Florida, USA",
Lee_2019,Zanne,Amy,0000-0001-6379-9452,"Department of Biology, University of Miami, Coral Gables, Florida 33146, USA",
Lee_2019,Powell,Jeff R.,0000-0003-1091-2452,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Leigh_2003,Leigh,Andrea,0000-0003-3568-2606,"University of Technology Sydney, Australia",contact
Leigh_2003,Nicotra,Adrienne,0000-0001-6578-369X,"The Australian National University, Australia",
Leigh_2006,Leigh,Andrea,0000-0003-3568-2606,"University of Technology Sydney, Australia",contact
Leigh_2006,Nicotra,Adrienne,0000-0001-6578-369X,"The Australian National University, Australia",
Leigh_2006,Cosgrove,Meredith,,"The Australian National University, Australia",
Leishman_1992,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",contact
Leishman_1992,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Leishman_1993,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",contact
Leishman_1993,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Leishman_1993,Rice,Barbara,,"Department of Biological Sciences, Macquarie University, Australia",
Leishman_1993,Howell,Jocelyn,,"Berowa NSW, Australia",
Leishman_1995,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",contact
Leishman_1995,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Leishman_1995,Rice,Barbara,,"Department of Biological Sciences, Macquarie University, Australia",
Leishman_1995,Howell,Jocelyn,,"Berowa NSW, Australia",
Leishman_2007,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",contact
Lemmens_1994,Zanne,Amy,0000-0001-6379-9452,"Department of Biology, University of Miami, Coral Gables, Florida 33146, USA",contact
Lewis_2015,Lewis,James,0000-0002-7347-9513,"Fordham University, New York City, NY, USA",
Lewis_2015,Tissue,David,0000-0002-8497-2047,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Lewis_2015,Smith,Renee,,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Lewis_2015,Frith,Allison,,"The University of Sydney, Australia",
Li_2018,Li,Ximeng,0000-0002-7816-5441,"College of Life and Environmental Science, Minzu University of China, Beijing, China",
Li_2018,Blackman,Chris,0000-0002-7057-956X,"University of Tasmania, Australia",
Li_2019,Li,Ximeng,0000-0002-7816-5441,"College of Life and Environmental Science, Minzu University of China, Beijing, China",
Li_2019,Blackman,Chris,0000-0002-7057-956X,"University of Tasmania, Australia",
Lim_2017,Lim,Felix,0000-0003-1227-460X,"University of Melbourne, Australia",contact
Lim_2017,Vesk,Peter,0000-0003-2008-7062,"University of Melbourne, Australia",
Lim_2017,Pollock,Laura,0000-0002-6004-4027,"Department of Biology, McGill University, Montréal, Canada",
Liu_2023,Liu,Shu Tong,0000-0002-5346-1711,"University of Western Australia, Australia",contact
Liu_2023,Finnegan,Patrick,0000-0001-5021-1138,"University of Western Australia, Australia",
Liu_2023,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
Liu_2023,Ranathunge,Kosala,0000-0003-2826-9936,"University of Western Australia, Australia",
Lord_1997,Lord,Janice,0000-0001-8314-0428,"University of Otago, Dunedin, New Zealand",contact
Lord_1997,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Lunt_2012,Lunt,Ian,0000-0002-2059-899X,"Charles Sturt University, Australia",contact
Lunt_2012,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",
Lusk_2010,Lusk,Christopher,0000-0002-9037-7957,"Environmental Research Institute, University of Waikato, New Zealand",contact
Lusk_2012,Lusk,Christopher,0000-0002-9037-7957,"Environmental Research Institute, University of Waikato, New Zealand",contact
Lusk_2014,Lusk,Christopher,0000-0002-9037-7957,"Environmental Research Institute, University of Waikato, New Zealand",contact
MacinnisNg_2004,Macinnis-Ng,Cate,0000-0003-3935-9814,"University of Auckland, New Zealand",contact
MacinnisNg_2004,Eamus,Derek,0000-0003-2765-8040,"University of Technology Sydney, Australia",
MacinnisNg_2016,Macinnis-Ng,Cate,0000-0003-3935-9814,"University of Auckland, New Zealand",contact
MacinnisNg_2016,Eamus,Derek,0000-0003-2765-8040,"University of Technology Sydney, Australia",
Manea_2011,Manea,Anthony,0000-0002-0956-4529,"Department of Biological Sciences, Macquarie University, Australia",
Manea_2011,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",contact
Maslin_2012,Maslin,Bruce,0000-0002-3039-0973,"Department of Biological Sciences, Macquarie University, Australia",contact
Maslin_2012,Lepschi,Brendan,0000-0002-3281-2973,"Centre for Australian National Biodiversity Research (a joint venture between Parks Australia and CSIRO), Canberra, ACT, Australia",
McCarthy_2017,McCarthy,James,0000-0003-3060-1678,"Manaaki Whenua - Landcare Research, Lincoln 7640, New Zealand",contact
McCarthy_2017,Dwyer,John M.,0000-0001-7389-5528,"School of Biological Sciences, The University of Queensland, Australia",
McCarthy_2017,Mokany,Karel,0000-0003-4199-3697,"CSIRO Land and Water, Australia",
McGlone_2015,Jordan,Gregory,0000-0002-6033-2766,"University of Tasmania, Australia",contact
Meers_2007,Meers,Trevor,,"Cumberland Ecology, Australia",contact
Meers_2007,Kasel,Sabine,0000-0001-8188-1089,"University of Melbourne, Australia",
Mesaglio_2022,Mesaglio,Thomas,0000-0002-1096-6066,University of New South Wales,contact
Metcalfe_2009,Metcalfe,Daniel,0000-0001-6853-7072,"CSIRO Land and Water, Australia",contact
Metcalfe_2020_1,Metcalfe,Daniel,0000-0001-6853-7072,"CSIRO Land and Water, Australia",contact
Metcalfe_2020_2,Metcalfe,Daniel,0000-0001-6853-7072,"CSIRO Land and Water, Australia",contact
Milberg_1997,Milberg,Per,0000-0001-6128-1051,"Linkoping University, Sweden",
Milberg_1997,Lamont,Byron,0000-0001-9279-7149,"Curtin University, Australia",contact
Milberg_1998,Milberg,Per,0000-0001-6128-1051,"Linkoping University, Sweden",
Milberg_1998,Lamont,Byron,0000-0001-9279-7149,"Curtin University, Australia",contact
Mitchell_2008,Mitchell,Patrick J.,0000-0002-5016-7031,"CSIRO Land and Water, Sandy Bay, Tasmania",
Mokany_2008,Mokany,Karel,0000-0003-4199-3697,"CSIRO Land and Water, Australia",contact
Mokany_2008,Ash,Julian,,"The Australian National University, Australia",
Mokany_2015,Mokany,Karel,0000-0003-4199-3697,"CSIRO Land and Water, Australia",contact
Moles_2000,Moles,Angela,0000-0003-2041-7762,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Moles_2000,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Moles_2003,Moles,Angela,0000-0003-2041-7762,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Moles_2003,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Moles_2011,Moles,Angela,0000-0003-2041-7762,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Moore_2019,Moore,Ben D.,0000-0002-6995-4721,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Moore_2019,DeGabriel,Jane L.,0000-0003-1245-5291,"School of Marine and Tropical Biology, James Cook University, Australia",
Moore_2019_2,Moore,Nicholas,0000-0002-9087-7580,"La Trobe University, Australia",contact
Moore_2019_2,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",
Moore_2019_2,Camac,James,0000-0003-4785-0742,"Centre of Excellence for Biosecurity Risk Analysis, The University of Melbourne, Australia",
Morgan_2005,Morgan,Huw,,unknown,
Morgan_2005,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Morgan_2011_1,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",contact
Morgan_2011_2,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",contact
Morgan_2014,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",contact
Morgan_2021,Morgan,Rhys,,"School of Biological Sciences, The University of Adelaide, Australia",
Morgan_2021,Martín-Forés,Irene,0000-0003-3627-0347,"School of Biological Sciences, The University of Adelaide, Australia",
Morgan_2021,Leitch,Emrys,0000-0003-3857-5697,"School of Biological Sciences, The University of Adelaide, Australia",
Morgan_2021,Guerin,Greg,0000-0002-2104-6695,"School of Biological Sciences, The University of Adelaide, Australia",contact
Mott_1978,Mott,J.J.,unknown,"Division of Tropical Crops and Pastures, CSIRO, Cunningham Laboratory, Mill Road, St. Lucia, Qld",
Muir_2014,Muir,Annette,0000-0001-9383-6613,"Department of Environment, Land, Water and Planning, Victoria, Australia",contact
Muir_2014,Vesk,Peter,0000-0003-2008-7062,"University of Melbourne, Australia",
Munroe_2019,Munroe,Samantha,0000-0001-7827-1028,"Terrestrial Ecosystem Research Network, The School of Biological Sciences, The University of Adelaide, Adelaide, SA, 5005, Australia",contact
Munroe_2019,Guerin,Greg,0000-0002-2104-6695,"Terrestrial Ecosystem Research Network, The School of Biological Sciences, The University of Adelaide, Adelaide, SA, 5005, Australia",
Munroe_2019,Sparrow,Ben,0000-0003-2566-1895,"Terrestrial Ecosystem Research Network, The School of Biological Sciences, The University of Adelaide, Adelaide, SA, 5005, Australia",
Myers_1997,Myers,Bronwyn,0000-0003-2309-0945,Charles Darwin University,
Myers_1997,Duff,Gordon,,"Cooperative Research Centre for Tropical Savannas, Northern Territory University, Australia",
Nano_2011,Nano,Catherine,0000-0002-1556-8307,"Flora and Fauna Division, Department of Environment, Parks and Water Security, Northern Territory Government, Alice Springs, NT, Australia",
NHNSW_2014,Duretto,Marco,0000-0003-1013-4291,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
NHNSW_2014_2,Duretto,Marco,0000-0003-1013-4291,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
NHNSW_2016,Duretto,Marco,0000-0003-1013-4291,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
NHNSW_2022,Duretto,Marco,0000-0003-1013-4291,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
NHNSW_2022,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
NHNSW_2023,Duretto,Marco,0000-0003-1013-4291,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
NHNSW_2023,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
NHNSW_2024,Duretto,Marco,0000-0003-1013-4291,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
NHNSW_2024,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
Nicholson_2017,Nicholson,Áine,,"University of Tasmania, Australia",
Nicholson_2017,Prior,Lynda,0000-0002-5511-2320,"University of Tasmania, Australia",contact
Nicholson_2017,Bowman,David,0000-0001-8075-124X,"University of Tasmania, Australia",
Nicolle_2006,Nicolle,Dean,,"Currency Creek Arboretum, Australia",
Nicolle_2006,Gosper,Carl,0000-0002-0962-5117,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",contact
Nicolle_2006,Yates,Colin,0000-0003-2286-8700,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",
Niinemets_2009,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Niinemets_2009,Niinemets,Ülo,0000-0002-3078-2192,"Estonian University of Life Sciences, Estonia",
Niinemets_2009,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Nolan_2022,Nolan,Rachael,0000-0001-9277-5142,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Nolan_2022,Boer,Matthias M.,0000-0001-6362-4572,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
NSWFRD_2014,Tasker,Elizabeth,0000-0002-2607-7183,"NSW Department of Planning Industry and Environment, Australia",contact
NSWFRD_2014,Kenny,Belinda,,"NSW Rural Fire Service, Australia",
NSWFRD_2014,Bradstock,Ross,0000-0002-6904-2394,University of Wollongong,
NSWFRD_2014,Gill,Malcolm,,"The Australian National University, Australia",
NTH_2014,Cowie,Ian,0000-0001-5295-9596,"Northern Territory Herbarium, Australia",
NTH_2022,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
NTH_2023,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Onoda_2010,Onoda,Yusuke,0000-0001-6245-2342,"Graduate School of Agriculture, Kyoto University, Japan",contact
Onoda_2010,Richards,Anna,0000-0002-2934-5497,"CSIRO Land and Water, Australia",
Onoda_2010,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Ooi_2007,Ooi,Mark,0000-0002-3046-0417,"Centre for Ecosystem Science, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Ooi_2007,Myerscough,Peter,,"School of Life and Environmental Sciences, The University of Sydney, Australia",
Ooi_2007,Auld,Tony,0000-0002-8766-2829,"NSW Department of Planning Industry and Environment, Australia",
Ooi_2018,Ooi,Mark,0000-0002-3046-0417,"Centre for Ecosystem Science, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
OReillyNugent_2018,O'Reilly-Nugent,Andrew,0000-0003-2071-6279,"Institute for Applied Ecology, University of Canberra, ACT 2617, Australia",contact
OReillyNugent_2018,Duncan,Richard P.,0000-0003-2295-449X,"Institute for Applied Ecology, University of Canberra, ACT 2617, Australia",
Osborne_2014,Osborne,Colin P.,0000-0002-7423-3718,"University of Sheffield, Department of Animal and Plant Sciences, United Kingdom",contact
Pate_1989,Pate,John,,"School of Plant Biology, The University of Western Australia, Australia",
Pate_1990,Pate,John,,"School of Plant Biology, The University of Western Australia, Australia",
Pate_1998,Pate,John,unkown,"Department of Botany, The University of Western Australia, Nedlands",
Peeters_2002,Peeters,Paula,,unknown,
Pekin_2011,Pekin,Burak,0000-0002-4797-6962,"Istanbul Technical University, Eurasia Institute of Earth Sciences, Istanbul, Turkey",contact
Pfautsch_2016,Pfautsch,Sebastian,0000-0002-4390-4195,"Hawkesbury Institute for the Environment, Western Sydney University",contact
Pickering_2014,Pickering,Catherine,0000-0002-3731-5407,"School of Environment and Science, Griffith University, Australia",
Pickering_2014,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",
Pickering_2014,Venn,Susanna,0000-0002-7433-0120,"Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Burwood, Australia",contact
Pickup_2002,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Pickup_2002,Pickup,Melinda,0000-0001-6118-0541,"Greening Australia, Australia",contact
Pickup_2005,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Pickup_2005,Pickup,Melinda,0000-0001-6118-0541,"Greening Australia, Australia",contact
Pickup_2021,Pickup,Melinda,0000-0001-6118-0541,"Greening Australia, Australia",contact
Pinkard_2011,Pinkard,Elizabeth,unknown,CSIRO Ecosystem Sciences and Sustainable Agriculture Flagship,
Pirralho_2014,Pirralho,Marília,0000-0003-3748-0186,"Universidade Federal de Itajubá, Itajuba, Brazil",contact
Pollock_2012,Pollock,Laura,0000-0002-6004-4027,"Department of Biology, McGill University, Montréal, Canada",
Pollock_2012,Morris,William,0000-0002-8686-4154,"University of Melbourne, Australia",contact
Pollock_2012,Vesk,Peter,0000-0003-2008-7062,"University of Melbourne, Australia",
Pollock_2018,Pollock,Laura,0000-0002-6004-4027,"Department of Biology, McGill University, Montréal, Canada",
Pollock_2018,Morris,William,0000-0002-8686-4154,"University of Melbourne, Australia",contact
Pollock_2018,Vesk,Peter,0000-0003-2008-7062,"University of Melbourne, Australia",
Portelli_2023,Vesk,Peter,0000-0003-2008-7062,"University of Melbourne, Australia",contact
Portelli_2023,Windecker,Saras,0000-0002-4870-8353,"University of Melbourne, Australia",
Portelli_2023,Portelli,Antoinette,0000-0002-3876-5530,"University of Melbourne, Australia",
Portelli_2023,Neal,Will,,"University of Melbourne, Australia",
Portelli_2023,Morris,William,0000-0002-8686-4154,"University of Melbourne, Australia",
Portelli_2023,Khot,Rohan,,"University of Melbourne, Australia",
Prior_2000,Prior,Lynda,0000-0002-5511-2320,"University of Tasmania, Australia",
Prior_2003,Prior,Lynda,0000-0002-5511-2320,"University of Tasmania, Australia",contact
Prior_2003,Bowman,David,0000-0001-8075-124X,"University of Tasmania, Australia",
Prior_2016,Prior,Lynda,0000-0002-5511-2320,"University of Tasmania, Australia",contact
Prior_2016,Bowman,David,0000-0001-8075-124X,"University of Tasmania, Australia",
Prior_2022,Prior,Lynda,0000-0002-5511-2320,"University of Tasmania, Australia",
Prior_2022,Wood,Sam,,"University of Tasmania, Australia",contact
Purdie_1976,Purdie,Rosemary,,unknown,
RadfordSmith_2024,Radford-Smith,Julian,0000-0001-6949-9469,"School of Biological Sciences, The University of Queensland, Australia",contact
RadfordSmith_2024,Dwyer,John M.,0000-0001-7389-5528,"School of Biological Sciences, The University of Queensland, Australia",
RadfordSmith_2024,Cathcart-Van Weeren,Ella,0009-0004-2209-114X,"School of Biological Sciences, The University of Queensland, Australia",
RadfordSmith_2024,Brown,Alison,unknown,"School of Biological Sciences, The University of Queensland, Australia",
RBGK_2014,Liu,Udayangani,0000-0002-6192-1319,"Royal Botanic Gardens, Kew, United Kingdom",contact
RBGV_2022,Robinson,Alastair,0000-0001-8581-2718,Royal Botanic Gardens Victoria,contact
RBGV_2022,Walsh,Neville,0000-0003-4671-1425,Royal Botanic Gardens Victoria,
RBGV_2022,Messina,Andre,,Royal Botanic Gardens Victoria,
RBGV_2022,Stajsic,Val,,Royal Botanic Gardens Victoria,
RBGV_2022,Ohlsen,Daniel,0000-0002-8030-7349,Royal Botanic Gardens Victoria,
RBGV_2022,Klazenga,Niels,0000-0003-2224-6821,Royal Botanic Gardens Victoria,
RBGV_2022,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
RBGV_2023,Robinson,Alastair,0000-0001-8581-2718,Royal Botanic Gardens Victoria,contact
RBGV_2023,Walsh,Neville,0000-0003-4671-1425,Royal Botanic Gardens Victoria,
RBGV_2023,Messina,Andre,,Royal Botanic Gardens Victoria,
RBGV_2023,Stajsic,Val,,Royal Botanic Gardens Victoria,
RBGV_2023,Ohlsen,Daniel,0000-0002-8030-7349,Royal Botanic Gardens Victoria,
RBGV_2023,Klazenga,Niels,0000-0003-2224-6821,Royal Botanic Gardens Victoria,
RBGV_2023,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
Read_2003,Read,Jennifer,0000-0002-4727-3482,"School of Biological Sciences, Monash University, Australia",contact
Read_2003,Sanson,Gordon,,"School of Biological Sciences, Monash University, Australia",
Read_2005,Read,Jennifer,0000-0002-4727-3482,"School of Biological Sciences, Monash University, Australia",contact
Read_2005,Sanson,Gordon,,"School of Biological Sciences, Monash University, Australia",
Read_2005,Lamont,Byron,0000-0001-9279-7149,"Curtin University, Australia",
Reynolds_2018,Reynolds,Victoria,0000-0002-6071-9303,"School of Biological Sciences, The University of Queensland, Australia",
Reynolds_2018,Mayfield,Margaret,0000-0002-5101-6542,"School of Biological Sciences, The University of Queensland, Australia",contact
Rice_1991,Rice,Barbara,,"Department of Biological Sciences, Macquarie University, Australia",
Rice_1991,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",contact
Richards_2003,Richards,Anna,0000-0002-2934-5497,"CSIRO Land and Water, Australia",contact
Richards_2003,Schmidt,Susanne,0000-0001-8369-1238,"School of Agriculture and Food Science, The University of Queensland, Australia",
Richards_2008,Richards,Anna,0000-0002-2934-5497,"CSIRO Land and Water, Australia",contact
Richards_2021,Richards,Jeannine,0000-0002-1736-2126,"Nelson Institute for Environmental Studies, University of Wisconsin-Madison, Madison, WI, USA",
Roberts_2006,Roberts,Bryan,,"Department of Environment, Land, Water and Planning, Victoria, Australia",
Roberts_2006,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",
Roderick_1999,Roderick,Michael,0000-0002-3630-7739,"The Australian National University, Australia",contact
Roderick_2002,Roderick,Michael,0000-0002-3630-7739,"The Australian National University, Australia",contact
Rosell_2014,Rosell,Julieta A.,0000-0001-5741-8027,"Laboratorio Nacional de Ciencias de la Sostenibilidad, Instituto de Ecología, Universidad Nacional Autónoma de México, Ciudad de México, Mexico",contact
Rosell_2014,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Rumman_2018,Rumman,Rizwana,0000-0002-8094-5631,WaterNSW,
RussellSmith_2012,Russell-Smith,Jeremy,0000-0003-1489-2866,"Research Institute of Environment and Livelihoods, Charles Darwin University, Casuarina, Darwin, NT, 0810, Australia",contact
Rye_2002,Rye,Barbara,0000-0003-1254-5940,"Western Australian Herbarium, Department of Biodiversity, Conservation and Attractions, Western Australia, Australia",contact
Rye_2006,Rye,Barbara,0000-0003-1254-5940,"Western Australian Herbarium, Department of Biodiversity, Conservation and Attractions, Western Australia, Australia",contact
Rye_2009_1,Rye,Barbara,0000-0003-1254-5940,"Western Australian Herbarium, Department of Biodiversity, Conservation and Attractions, Western Australia, Australia",contact
Rye_2009_2,Rye,Barbara,0000-0003-1254-5940,"Western Australian Herbarium, Department of Biodiversity, Conservation and Attractions, Western Australia, Australia",contact
Rye_2013_1,Rye,Barbara,0000-0003-1254-5940,"Western Australian Herbarium, Department of Biodiversity, Conservation and Attractions, Western Australia, Australia",contact
Rye_2013_2,Rye,Barbara,0000-0003-1254-5940,"Western Australian Herbarium, Department of Biodiversity, Conservation and Attractions, Western Australia, Australia",contact
Rye_2015,Rye,Barbara,0000-0003-1254-5940,"Western Australian Herbarium, Department of Biodiversity, Conservation and Attractions, Western Australia, Australia",contact
SAH_2014,Kellermann,Jürgen,0000-0001-9124-9802,"State Herbarium of South Australia, Botanic Gardens and State Herbarium, Hackney Road, Adelaide, SA 5000, Australia",
SAH_2022,Kellermann,Jürgen,0000-0001-9124-9802,"State Herbarium of South Australia, Botanic Gardens and State Herbarium, Hackney Road, Adelaide, SA 5000, Australia",
SAH_2022,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
SAH_2023,Kellermann,Jürgen,0000-0001-9124-9802,"State Herbarium of South Australia, Botanic Gardens and State Herbarium, Hackney Road, Adelaide, SA 5000, Australia",
SAH_2023,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Sams_2017,Sams,Michael,0000-0003-3311-4891,"School of Biological Sciences, The University of Queensland, Australia",
Sams_2017,Mayfield,Margaret,0000-0002-5101-6542,"School of Biological Sciences, The University of Queensland, Australia",contact
Sams_2017,Lai,Hao Ran,0000-0001-6871-0146,"University of Canterbury, New Zealand",
Sams_2017,Metcalfe,Daniel,0000-0001-6853-7072,"CSIRO Land and Water, Australia",
Sams_2017,Kooyman,Robert,0000-0003-1985-9547,"Department of Biological Sciences, Macquarie University, Australia",
