dataset_id,last_name,given_name,ORCID,affiliation,additional_role
Detombeur_2021,de Tombeur,Félix,0000-0002-6012-8458,"TERRA Teaching and Research Centre, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium",contact
Detombeur_2021,Laliberté,Etienne,0000-0002-3167-2622,"Institut de recherche en biologie végétale, Université de Montréal, 4101 Sherbrooke Est, Montréal, Canada H1X 2B2",
Detombeur_2021,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
Detombeur_2021,Zemunik,Graham,0000-0002-6064-345X,"University of Western Australia, Australia",
Detombeur_2025,de Tombeur,Félix,0000-0002-6012-8458,"School of Biological Sciences, University of Western Australia, Perth, Australia",contact
Doherty_2021,Doherty,Michael,unknown,"Eucryphia Botanical Consulting, Hackett, ACT",
Dong_2017,Dong,Ning,0000-0003-0793-8854,"Department of Biological Sciences, Macquarie University, Australia",contact
Dong_2017,Prentice,Iain Colin,0000-0002-1296-6764,"Imperial College, London, United Kingdom",
Drake_2011,Drake,Paul,0000-0002-1329-180X,University of Western Australia,
Draper_2023,Draper,Jenna,0000-0002-6262-2820,"School of Biological Sciences, The University of Adelaide, Adelaide, SA 5005, Australia",contact
Draper_2023,Simpson,Bradley,000-0002-6356-962X,"Clinical & Health Sciences, University of South Australia, SA 5000, Australia",contact
Du_2018,Du,Pengzhen,0000-0002-5774-5711,"Lanzhou University, China",
Du_2018,Farrell,Claire,0000-0002-5822-7529,"University of Melbourne, Australia",contact
Du_2018,Arndt,Stefan,0000-0001-7086-9375,"University of Melbourne, Australia",
Du_2019,Du,Pengzhen,0000-0002-5774-5711,"Lanzhou University, China",
Du_2019,Farrell,Claire,0000-0002-5822-7529,"University of Melbourne, Australia",contact
Du_2019,Arndt,Stefan,0000-0001-7086-9375,"University of Melbourne, Australia",
Duan_2015,Duan,Honglang,0000-0003-3761-6936,"Institute for Forest Resources & Environment of Guizhou. Guizhou University, Guiyang, China",
Duan_2015,Tissue,David,0000-0002-8497-2047,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Duan_2015,Smith,Renee,,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Duncan_1998,Duncan,David,0000-0003-4411-8214,"University of Melbourne, Australia",contact
Duncan_1998,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Dwyer_2017,Dwyer,John M.,0000-0001-7389-5528,"School of Biological Sciences, The University of Queensland, Australia",
Dwyer_2017,Laughlin,Daniel C.,0000-0002-9651-5732,"Department of Botany, University of Wyoming, Laramie, WY 82071, USA",
Dwyer_2018,Dwyer,John M.,0000-0001-7389-5528,"School of Biological Sciences, The University of Queensland, Australia",contact
Dwyer_2018,Mason,Riah,,"The University of Queensland, Australia",
Eamus_1998,Eamus,Derek,0000-0003-2765-8040,"University of Technology Sydney, Australia",
Eamus_1999,Eamus,Derek,0000-0003-2765-8040,"University of Technology Sydney, Australia",
Eamus_2000,Eamus,Derek,0000-0003-2765-8040,"University of Technology Sydney, Australia",
Edwards_2000,Read,Jennifer,0000-0002-4727-3482,"School of Biological Sciences, Monash University, Australia",contact
Edwards_2000,Sanson,Gordon,,"School of Biological Sciences, Monash University, Australia",
Edwards_2000,Edwards,Cheryl,0000-0003-3275-1020,"Melbourne Water, Australia",
eFLOWER_2021,Sauquet,Hervé,0000-0001-8305-3236,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",contact
eFLOWER_2021,Schönenberger,Jürg,0000-0001-6791-2731,"Department of Botany and Biodiversity Research, University of Vienna, Austria",
eFLOWER_2021,Balthazar,Maria von,0000-0001-7436-3582,"Department of Botany and Biodiversity Research, University of Vienna, Austria",
eFLOWER_2021,López Martinez,Andrea,0000-0002-2027-9753,"Universidad Nacional Autónoma de México, Mexico",
eFLOWER_2021,Magallón,Susana,0000-0002-6838-7497,"Universidad Nacional Autónoma de México, Mexico",
eFLOWER_Dun_2022,Dun,Lily,0000-0002-0712-5143,University of New South Wales,
eFLOWER_Dun_2022,Sauquet,Hervé,0000-0001-8305-3236,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
eFLOWER_Dun_2022,Barrett,Russell,0000-0003-0360-8321,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
Ellsworth_2015,Ellsworth,David S.,0000-0002-9699-2272,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Ellsworth_2015,Crous,Kristine,0000-0001-9478-7593,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Ellsworth_2015,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
Ellsworth_2015,Cooke,Julia,0000-0002-3178-0674,"The Open University, Milton Keynes, United Kingdom",
Enright_2014,Enright,Neal,0000-0003-2979-4505,"School of Environmental and Conservation Sciences, Murdoch University, Murdoch, Western Australia, Australia",
EsperonRodriguez_2019,Esperon-Rodriguez,Manuel,0000-0003-3649-2134,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
EsperonRodriguez_2019,Power,Sally A.,0000-0002-2723-8671,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
EsperonRodriguez_2019,Tjoelker,Mark G.,0000-0003-4607-5238,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
EsperonRodriguez_2019,Rymer,Paul D.,0000-0003-0988-4351,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
EsperonRodriguez_2020,Esperon-Rodriguez,Manuel,0000-0003-3649-2134,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Everingham_2020,Everingham,Susan,0000-0002-4780-2700,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Everingham_2020,Moles,Angela,0000-0003-2041-7762,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
Falster_2003,Falster,Daniel,0000-0002-9814-092X,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Falster_2003,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Falster_2005_1,Falster,Daniel,0000-0002-9814-092X,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Falster_2005_1,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Falster_2005_2,Falster,Daniel,0000-0002-9814-092X,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Falster_2005_2,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Farrell_2012,Farrell,Claire,0000-0002-5822-7529,"University of Melbourne, Australia",contact
Farrell_2012,Szota,Christopher,0000-0002-8837-591X,"University of Melbourne, Australia",
Farrell_2013,Farrell,Claire,0000-0002-5822-7529,"University of Melbourne, Australia",contact
Farrell_2013,Szota,Christopher,0000-0002-8837-591X,"University of Melbourne, Australia",
Farrell_2013,Arndt,Stefan,0000-0001-7086-9375,"University of Melbourne, Australia",
Farrell_2017,Farrell,Claire,0000-0002-5822-7529,"University of Melbourne, Australia",contact
Farrell_2017,Szota,Christopher,0000-0002-8837-591X,"University of Melbourne, Australia",
Farrell_2017,Arndt,Stefan,0000-0001-7086-9375,"University of Melbourne, Australia",
Firn_2019,Firn,Jennifer,0000-0001-6026-8912,"Queensland University of Technology, Brisbane, Australia",contact
Fonseca_2000,Fonseca,Carlos,0000-0003-0292-0399,"Departamento de Ecologia, Universidade Federal do Rio Grande do Norte, Natal, Brazil",contact
Fonseca_2000,Westoby,Mark,0000-0001-7690-4530,"Department of Biological Sciences, Macquarie University, Australia",
Forster_1992,Forster,Paul Irwin,,"Queensland Herbarium, Australia",
Forster_1995,Forster,Paul Irwin,,"Queensland Herbarium, Australia",
French_2017,French,Ben,0000-0001-5046-4047,"University of Tasmania, Australia",
French_2017,Prior,Lynda,0000-0002-5511-2320,"University of Tasmania, Australia",contact
French_2017,Bowman,David,0000-0001-8075-124X,"University of Tasmania, Australia",
French_2017,Nicholson,Áine,,"University of Tasmania, Australia",
Funk_2016,Funk,Jennifer,0000-0002-1916-5513,"Department of Plant Sciences, University of California, Davis, USA",
Funk_2016,Standish,Rachel,0000-0001-8118-1904,"Environmental and Conservation Sciences, Murdoch University, Australia",contact
Gallagher_2011_1,Gallagher,Rachael,0000-0002-4680-8115,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Gallagher_2011_1,Suda,Jan,0000-0001-8964-9153,Academy of Science Czech Republic,
Gallagher_2011_1,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",
Gallagher_2011_3,Gallagher,Rachael,0000-0002-4680-8115,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Gallagher_2011_3,Davidson,Ian,,unknown,
Gallagher_2011_3,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",contact
Gallagher_2012,Gallagher,Rachael,0000-0002-4680-8115,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Gallagher_2012,Leishman,Michelle,0000-0003-4830-5797,"Department of Biological Sciences, Macquarie University, Australia",
Gallagher_2015,Gallagher,Rachael,0000-0002-4680-8115,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Gallagher_2015,Lanfear,Robert,0000-0002-1140-2596,"Ecology and Evolution, Research School of Biology, Australian National University, Canberra, Australia",
Gallagher_2018,Gallagher,Rachael,0000-0002-4680-8115,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Gallagher_2018,Laugier-Kitchener,Bree-Anne,0000-0002-5347-1055,"Department of Biological Sciences, Macquarie University, Australia",
Gallagher_2018,McPherson,Hannah,0000-0003-0254-4573,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
Gallagher_2018,Rossetto,Maurizio,0000-0002-4878-9114,"National Herbarium of New South Wales, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
Gallagher_2018,van der Merwe,Marlien,0000-0003-1307-5143,"Research Centre for Ecosystem Resilience, Australian Institute of Botanical Science, Royal Botanic Gardens and Domain Trust, Sydney, Australia",
Gallagher_2018,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Gallagher_2018,Alfonzetti,Matthew,0000-0002-0064-6368,"Department of Biological Sciences, Macquarie University, Australia",
Gardiner_2019,Dwyer,John M.,0000-0001-7389-5528,"School of Biological Sciences, The University of Queensland, Australia",contact
Gardiner_2019,Gardiner,Ronald,,"The University of Queensland, Australia",
Geange_2017,Geange,Sonya,0000-0001-5344-7234,"The Australian National University, Australia",contact
Geange_2017,Nicotra,Adrienne,0000-0001-6578-369X,"The Australian National University, Australia",
Geange_2020,Geange,Sonya,0000-0001-5344-7234,"The Australian National University, Australia",contact
Geange_2020,Nicotra,Adrienne,0000-0001-6578-369X,"The Australian National University, Australia",
Ghannoum_2010,Ghannoum,Oula,0000-0002-1341-0741,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Ghannoum_2010,Tissue,David,0000-0002-8497-2047,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Ghannoum_2010,Smith,Renee,,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Goble_1981,Goble-Garratt,Ethel,,unknown,
Gosper_2004,Gosper,Carl,0000-0002-0962-5117,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",contact
Gosper_2012,Gosper,Carl,0000-0002-0962-5117,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",contact
Gosper_2012,Prober,Suzanne,0000-0002-6518-239X,"CSIRO Land and Water, Australia",
Gosper_2012,Yates,Colin,0000-0003-2286-8700,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",
Gosper_2018,Gosper,Carl,0000-0002-0962-5117,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",contact
Gosper_2018,Prober,Suzanne,0000-0002-6518-239X,"CSIRO Land and Water, Australia",
Gosper_2018,Yates,Colin,0000-0003-2286-8700,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",
Gosper_2022,Gosper,Carl,0000-0002-0962-5117,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",contact
GrassBase_2014,Clayton,Derek,,"Royal Botanic Gardens, Kew, United Kingdom",
GrassBase_2014,Vorontsova,Maria,0000-0003-0899-1120,"Royal Botanic Gardens, Kew, United Kingdom",contact
Gray_2019,Gray,Emma,0000-0002-5352-0398,"Department of Biological Sciences, Macquarie University, Australia",
Gray_2019,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Grigg_2008,Grigg,Alasdair,unknown,"Plant Biology, Faculty of Natural and Agricultural Sciences, The University of Western Australia",
Groom_1997,Groom,Philip K,,"Curtin University, Australia",
Groom_1997,Lamont,Byron,0000-0001-9279-7149,"Curtin University, Australia",contact
Groom_2010,Groom,Philip K,,"Curtin University, Australia",
Groom_2010,Lamont,Byron,0000-0001-9279-7149,"Curtin University, Australia",contact
Grootemaat_2015,Grootemaat,Saskia,0000-0002-5033-5912,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Grootemaat_2015,Cornwell,William,0000-0003-4080-4073,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",
Grootemaat_2015,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Grootemaat_2017_1,Grootemaat,Saskia,0000-0002-5033-5912,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Grootemaat_2017_1,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Grootemaat_2017_2,Grootemaat,Saskia,0000-0002-5033-5912,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Grootemaat_2017_2,Wright,Ian,0000-0001-8338-9143,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Gross_1993,Gross,Caroline,0000-0001-8014-1548,"University of New England, Australia",contact
Gross_2005,Gross,Caroline,0000-0001-8014-1548,"University of New England, Australia",contact
Groves_1986,Groves,Richard,unknown,"Division of Plant Industry, CSIRO",
Grubb_1996,Metcalfe,Daniel,0000-0001-6853-7072,"CSIRO Land and Water, Australia",contact
Grubb_1996,Grubb,Peter,,"Cambridge University, United Kingdom",
Grubb_2008,Grubb,Peter,,"Cambridge University, United Kingdom",contact
Guilherme_Pereira_2018,Guilherme Pereira,Caio,0000-0003-3288-8553,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, USA",contact
Guilherme_Pereira_2018,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
Guilherme_Pereira_2019,Guilherme Pereira,Caio,0000-0003-3288-8553,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, USA",contact
Guilherme_Pereira_2019,Hayes,Patrick,0000-0001-7554-4588,"University of Western Australia, Australia",
Guilherme_Pereira_2019,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
Guilherme_Pereira_2019,O'Sullivan,Odhran S.,0000-0002-1448-1066,"Leistershire County Council, Leicester, United Kingdom",
Guilherme_Pereira_2019,Weerasinghe,Lasantha K.,0000-0002-5173-8000,"Faculty of Agriculture, University of Peradeniya, Peradeniya 20400, Sri Lanka",
Guilherme_Pereira_2019,Atkin,Owen,0000-0003-1041-5202,"The Australian National University, Australia",
Hall_1981,Hall,TJ,,"CSIRO, Australia",
Hanley_2001,Hanley,Mick,0000-0002-3966-8919,"Curtin University, Australia",
Hanley_2002,Hanley,Mick,0000-0002-3966-8919,"Curtin University, Australia",
Harrison_2009,Harrison,Matthew Tom,0000-0001-7425-452X,"Tasmanian Institute of Agriculture, University of Tasmania, Australia",contact
Harrison_2009,Evans,John,0000-0003-1379-3532,"The Australian National University, Australia",
Harvey_2017,Gosper,Carl,0000-0002-0962-5117,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",contact
Harvey_2017,Harvey,Judith,,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",
Hassiotou_2009,Hassiotou,Foteini,,unknown,
Hassiotou_2009,Veneklaas,Erik,0000-0002-7030-4056,"University of Western Australia, Australia",
Hayes_2014,Hayes,Patrick,0000-0001-7554-4588,"University of Western Australia, Australia",contact
Hayes_2014,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
Hayes_2014,Laliberté,Etienne,0000-0002-3167-2622,"Institut de recherche en biologie végétale, Université de Montréal, 4101 Sherbrooke Est, Montréal, Canada H1X 2B2",
Hayes_2018,Hayes,Patrick,0000-0001-7554-4588,"University of Western Australia, Australia",contact
Hayes_2018,Clode,Peta,0000-0002-5188-4737,"University of Western Australia, Australia",
Hayes_2018,Lambers,Hans,0000-0002-4118-2272,"University of Western Australia, Australia",
He_2011,He,Tianhua,0000-0002-0924-3637,"Curtin University, Australia",contact
